"school_id","school_name","year","long_name","primary_category","student_count_total","student_count_low_income","student_count_black","student_count_hispanic","student_count_white","student_count_asian","student_count_native_american","student_count_other_ethnicity","student_count_asian_pacific_islander","student_count_multi","student_count_hawaiian_pacific_islander","student_count_ethnicity_not_available","number_students_tested_ela","percent_did_not_meet_ela","percent_partially_met_ela","percent_approached_ela","percent_met_ela","percent_exceeded_ela","percent_met_or_exceeded_ela","number_students_tested_math","percent_did_not_meet_math","percent_partially_met_math","percent_approached_math","percent_met_math","percent_exceeded_math","percent_met_or_exceeded_math"
609899,"EBINGER",2018,"Christian Ebinger Elementary School","ES",865,96,6,113,706,20,2,0,0,13,1,4,515,3.5,7.8,20.8,51.1,16.9,68,516,3.3,11.2,26.9,50,8.5,58.5
610396,"TARKINGTON",2018,"Tarkington School of Excellence ES","ES",947,798,207,732,4,2,2,0,0,0,0,0,657,24,24.2,30.9,19.5,1.4,20.9,658,25.2,30.9,24.2,19.3,0.5,19.8
610347,"CLAREMONT",2018,"Claremont Academy Elementary School","ES",458,315,378,70,6,0,0,0,0,0,4,0,251,35.5,31.9,22.3,10.4,0,10.4,247,33.6,33.2,20.6,11.7,0.8,12.6
609945,"GOUDY",2018,"William C. Goudy Technology Academy","ES",695,394,175,195,45,267,3,0,0,9,1,0,440,12.7,22,28.9,30.7,5.7,36.4,447,12.3,28,31.3,25.5,2.9,28.4
610105,"ORIOLE PARK",2018,"Oriole Park Elementary School","ES",743,172,14,165,495,56,1,0,0,11,1,0,448,2.7,8.9,26.6,50.4,11.4,61.8,448,3.8,11.2,25,53.3,6.7,60
609933,"GALE",2018,"Stephen F Gale Elementary Community Academy","ES",300,180,176,66,18,16,0,0,0,12,0,12,151,44.4,24.5,23.8,7.3,0,7.3,155,41.3,33.5,16.8,8.4,0,8.4
609777,"ARMOUR",2018,"Phillip D Armour Elementary School","ES",262,187,10,210,24,11,1,0,0,6,0,0,146,24.7,24,30.8,20.5,0,20.5,148,30.4,35.1,20.3,14.2,0,14.2
609994,"HIBBARD",2018,"William G Hibbard Elementary School","ES",959,592,50,763,61,70,7,0,0,8,0,0,507,23.9,26.2,26.6,21.3,2,23.3,511,18.2,31.7,26.4,22.5,1.2,23.7
610070,"MCPHERSON",2018,"James B McPherson Elementary School","ES",682,328,39,507,90,28,0,0,0,18,0,0,399,18.3,25.1,27.6,24.8,4.3,29.1,402,24.9,30.3,26.1,18.2,0.5,18.7
610206,"TWAIN",2018,"Mark Twain Elementary School","ES",1091,645,15,937,131,4,1,0,0,3,0,0,777,7.7,10.3,24.8,44.8,12.4,57.1,780,8.7,22.9,27.8,35.3,5.3,40.5
